,ReportDate,Region,CaseCategory,INTERNALDESC,Total_Cases,Filed,Pending_At_TakeOver,Abandoned,Granted,Transferred,Withdrawn,Closed,Granted_At_TakeOver,Coalesced_Closed_Events,PROPERTYTYPE,CaseRefs (0-1),CaseRefs (1-2),CaseRefs (2-4),CaseRefs (4-8),CaseRefs (8-16),CaseRefs (16+)
177,2020-02-29 00:00:00,EP,Patent,Dead,13150,13003,0,5252,0,39,440,116,7762,5404,P,,,,,,
178,2020-02-29 00:00:00,EP,Patent,File Closed,7731,5478,1087,2731,2678,828,316,288,1254,6426,P,,,,,,
179,2020-02-29 00:00:00,EP,Patent,File Destroyed,3135,2987,19,1411,1138,97,127,26,399,2654,P,,,,,,
180,2020-02-29 00:00:00,EP,Patent,File Microfilmed/Scanned,11546,10719,643,4661,4022,1505,672,116,1284,10201,P,,,,,,
181,2020-02-29 00:00:00,EP,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
182,2020-02-29 00:00:00,EP,Patent,No WIP - Internal Status,1,1,0,0,1,0,0,0,0,1,P,,,,,,
183,2020-02-29 00:00:00,EP,Patent,Not yet filed,220,0,0,0,0,0,0,0,0,0,P,,,,,,
184,2020-02-29 00:00:00,EP,Patent,Opened for WIP Only,141,113,19,102,34,4,5,0,11,134,P,,,,,,
185,2020-02-29 00:00:00,EP,Patent,Pending,6184,5632,552,0,0,0,0,0,0,0,P,,,,,,
186,2020-02-29 00:00:00,EP,Patent,Registered,1203,985,141,0,1120,0,0,0,83,1120,P,,,,,,
187,2020-02-29 00:00:00,EP,Patent,Transferred elsewhere,65,53,9,12,5,65,5,0,3,65,P,,,,,,
188,2020-02-29 00:00:00,Foreign,Patent,Abandoned by client,488,451,29,487,35,1,0,0,4,488,P,,,,,,
189,2020-02-29 00:00:00,Foreign,Patent,Dead,4764,4616,0,2302,0,0,1,383,2055,2686,P,,,,,,
190,2020-02-29 00:00:00,Foreign,Patent,File Closed,5166,4020,572,1410,1282,296,0,337,1779,3296,P,,,,,,
191,2020-02-29 00:00:00,Foreign,Patent,File Destroyed,1122,952,2,483,271,26,0,158,90,903,P,,,,,,
192,2020-02-29 00:00:00,Foreign,Patent,File Microfilmed/Scanned,8948,7169,1554,4086,2978,858,0,381,809,8153,P,,,,,,
193,2020-02-29 00:00:00,Foreign,Patent,Never filed,75,0,0,48,0,1,0,0,0,49,P,,,,,,
194,2020-02-29 00:00:00,Foreign,Patent,Not yet filed,397,0,0,0,0,0,0,0,0,0,P,,,,,,
195,2020-02-29 00:00:00,Foreign,Patent,Opened for WIP Only,117,98,12,42,60,9,0,2,4,113,P,,,,,,
196,2020-02-29 00:00:00,Foreign,Patent,Pending,3531,3175,356,0,0,0,0,0,0,0,P,,,,,,
197,2020-02-29 00:00:00,Foreign,Patent,Registered,694,343,35,1,362,1,0,0,330,362,P,,,,,,
198,2020-02-29 00:00:00,Foreign,Patent,Transferred elsewhere,332,235,69,8,43,315,0,1,19,328,P,,,,,,
199,2020-02-29 00:00:00,GB,Patent,Abandoned by client,94,94,0,94,0,0,16,0,0,94,P,,,,,,
200,2020-02-29 00:00:00,GB,Patent,Dead,5044,5004,0,2343,0,8,85,19,2661,2370,P,,,,,,
201,2020-02-29 00:00:00,GB,Patent,File Closed,2424,2309,27,1314,94,76,55,97,845,1579,P,,,,,,
202,2020-02-29 00:00:00,GB,Patent,File Destroyed,104,89,2,57,4,3,5,9,18,73,P,,,,,,
203,2020-02-29 00:00:00,GB,Patent,File Microfilmed/Scanned,1668,1549,71,828,438,124,123,86,144,1487,P,,,,,,
204,2020-02-29 00:00:00,GB,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
205,2020-02-29 00:00:00,GB,Patent,Not yet filed,18,0,1,0,0,0,0,0,1,0,P,,,,,,
206,2020-02-29 00:00:00,GB,Patent,Opened for WIP Only,5,5,0,3,2,0,0,0,0,5,P,,,,,,
207,2020-02-29 00:00:00,GB,Patent,Pending,219,199,20,0,0,0,0,0,0,0,P,,,,,,
208,2020-02-29 00:00:00,GB,Patent,Registered,80,47,8,0,45,0,0,0,35,45,P,,,,,,
209,2020-02-29 00:00:00,GB,Patent,Transferred elsewhere,48,48,0,0,2,48,0,0,0,48,P,,,,,,
